id,title,authors,theme
33,Evaluating (semi)-autonomous systems in policing and national security: a new framework based on the concept of ‘intelligence’,"Marion Oswald, Luke Chambers and Angela Paul","Sociotechnical Systems, HAI & HRI"
34,Confiance.ai Days 2022- Booklet of articles & posters,Alix,Outreach
35,TAME Pain: Trustworthy AssessMEnt of Pain from Speech and Audio for the Empowerment of Patients,"Eike Schneiders, Jennifer Williams, Arya Farahi, Tina Seabrooke, Ganesh Vigneswaran, John Robert Bautista, Liz Dowthwaite and Anna-Maria Piskopani","Sociotechnical Systems, HAI & HRI"
36,Storyboarding a Serious Game Environment for Evaluating the Impact of Empathetic AI for Sonar Operators,"Madalin Facino, Alan Hunter, Christof Lutteroth, Aaron Roberts and Samantha Dugelay","Sociotechnical Systems, HAI & HRI"
37,DORIAN: Doctor-centred Auditing of Healthcare AI With Testing of Fairness,"Pepita Barnard, John Robert Bautista, Joshua Krook, Anqi Liu, Héctor Menéndez, Aurora Schmidt and Tamim Sookoor","Sociotechnical Systems, HAI & HRI"
38,"Embodied Conversational Agents: Trust, Deception and the Suspension of Disbelief","Matthew Aylett, Mei Yii Lim, Katerina Pappa, Bruce Wilson, Ruth Aylett and Mario Parra","Sociotechnical Systems, HAI & HRI"
39,Verifiably Safe and Trusted Human-AI Systems: A Socio-technical Perspective,"Michael Akintunde, Victoria Young, Vahid Yazdanpanah, Asieh Salehi Fathabadi, Pauline Leonard, Michael Butler and Luc Moreau","Sociotechnical Systems, HAI & HRI"
40,Augmented Robotic Telepresence (ART): A Prototype for Enhancing Remote Interaction and Participation,"Gisela Reyes-Cruz, Andriana Boudouraki, Dominic Price, Joel Fischer, Stuart Reeves, Maria Galvez Trigo and Horia Maior",Telepresence
41,Trust and Trustworthiness in Robotic Surgery: A Narrative Review,"Gowri Pradeep, Prokar Dasgupta, Sylvaine Tuncer and Paul Luff",
42,AGRITRUST: A Testbed to Enable Trustworthy Smart AgriTech,"Carl Dickinson, Shishir Nagaraja, Mujeeb Ahmed and Richard Hyde",
43,Co-creating Museum Robots with People that are Autistic and/or have Learning Disabilites,"Harriet Cameron, Matthew Story, Gisela Reyes Cruz, and Maria Jose Galvez Trigo",
44,ATRACT,Alireza Tamaddoni Nezhad,
AD1,A Practical Taxonomy of TAS-related Usecase Scenarios,"Peta Masters, Victoria Young, Alan Chamberlain, Sachini Weerawardhana, Peter McKenna, Yang Lu, Liz Dowthwaite, Paul Luff and Luc Moreau",Artistic demo 1 
AD2,Jess+ ,Craig Vear ,Artistic demo 2 
